PrecinctName,CityName,SeattleCouncilDistrict
SEA 46-2074,Seattle,4
SEA 46-2075,Seattle,4
SEA 46-2076,Seattle,4
SEA 46-2083,Seattle,4
SEA 46-2084,Seattle,4
SEA 46-2088,Seattle,4
SEA 46-2089,Seattle,4
SEA 46-2091,Seattle,4
SEA 46-2092,Seattle,4
SEA 46-2093,Seattle,4
SEA 46-2094,Seattle,4
SEA 46-2095,Seattle,4
SEA 46-2096,Seattle,4
SEA 46-2097,Seattle,4
SEA 46-2098,Seattle,4
SEA 46-2099,Seattle,4
SEA 46-2100,Seattle,4
SEA 46-2109,Seattle,4
SEA 46-2110,Seattle,4
SEA 46-2127,Seattle,5
SEA 46-2128,Seattle,5
SEA 46-2129,Seattle,5
SEA 46-2142,Seattle,5
SEA 46-2143,Seattle,5
SEA 46-2145,Seattle,5
SEA 46-2152,Seattle,5
SEA 46-2228,Seattle,5
SEA 46-2231,Seattle,4
SEA 46-2234,Seattle,4
SEA 46-2236,Seattle,4
SEA 46-2237,Seattle,4
SEA 46-2238,Seattle,4
SEA 46-2239,Seattle,4
SEA 46-2240,Seattle,4
SEA 46-2243,Seattle,4
SEA 46-2244,Seattle,4
SEA 46-2245,Seattle,4
SEA 46-2247,Seattle,4
SEA 46-2249,Seattle,4
SEA 46-2251,Seattle,4
SEA 46-2252,Seattle,4
SEA 46-2253,Seattle,4
SEA 46-2257,Seattle,4
SEA 46-2260,Seattle,4
SEA 46-2261,Seattle,4
SEA 46-2263,Seattle,4
SEA 46-2264,Seattle,4
SEA 46-2266,Seattle,4
SEA 46-2267,Seattle,4
SEA 46-2268,Seattle,5
SEA 46-2269,Seattle,4
SEA 46-2270,Seattle,4
SEA 46-2271,Seattle,4
SEA 46-2272,Seattle,4
SEA 46-2274,Seattle,4
SEA 46-2275,Seattle,4
SEA 46-2276,Seattle,4
SEA 46-2277,Seattle,4
SEA 46-2280,Seattle,4
SEA 46-2282,Seattle,5
SEA 46-2283,Seattle,5
SEA 46-2285,Seattle,4
SEA 46-2286,Seattle,4
SEA 46-2289,Seattle,4
SEA 46-2290,Seattle,4
SEA 46-2291,Seattle,4
SEA 46-2292,Seattle,5
SEA 46-2293,Seattle,5
SEA 46-2295,Seattle,5
SEA 46-2296,Seattle,5
SEA 46-2297,Seattle,5
SEA 46-2298,Seattle,5
SEA 46-2299,Seattle,5
SEA 46-2302,Seattle,4
SEA 46-2303,Seattle,5
SEA 46-2304,Seattle,5
SEA 46-2305,Seattle,5
SEA 46-2306,Seattle,5
SEA 46-2307,Seattle,5
SEA 46-2308,Seattle,5
SEA 46-2309,Seattle,5
SEA 46-2310,Seattle,5
SEA 46-2311,Seattle,5
SEA 46-2313,Seattle,5
SEA 46-2314,Seattle,5
SEA 46-2316,Seattle,5
SEA 46-2317,Seattle,5
SEA 46-2318,Seattle,5
SEA 46-2319,Seattle,5
SEA 46-2320,Seattle,5
SEA 46-2321,Seattle,5
SEA 46-2322,Seattle,5
SEA 46-2323,Seattle,5
SEA 46-2324,Seattle,5
SEA 46-2325,Seattle,5
SEA 46-2326,Seattle,5
SEA 46-2327,Seattle,5
SEA 46-2328,Seattle,5
SEA 46-2330,Seattle,5
SEA 46-2332,Seattle,5
SEA 46-2333,Seattle,5
SEA 46-2334,Seattle,5
SEA 46-2335,Seattle,5
SEA 46-2336,Seattle,5
SEA 46-2337,Seattle,5
SEA 46-2338,Seattle,5
SEA 46-2339,Seattle,5
SEA 46-2340,Seattle,5
SEA 46-2341,Seattle,5
SEA 46-2342,Seattle,5
SEA 46-2343,Seattle,5
SEA 46-2344,Seattle,5
SEA 46-2345,Seattle,5
SEA 46-2346,Seattle,5
SEA 46-2347,Seattle,5
SEA 46-2348,Seattle,5
SEA 46-2349,Seattle,5
SEA 46-2350,Seattle,5
SEA 46-2351,Seattle,5
SEA 46-2352,Seattle,5
SEA 46-2353,Seattle,5
SEA 46-2355,Seattle,5
SEA 46-2357,Seattle,5
SEA 46-2358,Seattle,5
SEA 46-2359,Seattle,5
SEA 46-2360,Seattle,5
SEA 46-2361,Seattle,5
SEA 46-2363,Seattle,5
SEA 46-2364,Seattle,5
SEA 46-2366,Seattle,5
SEA 46-2367,Seattle,5
SEA 46-2369,Seattle,5
SEA 46-2370,Seattle,5
SEA 46-2371,Seattle,5
SEA 46-2373,Seattle,5
SEA 46-2375,Seattle,4
SEA 46-2377,Seattle,4
SEA 46-2378,Seattle,4
SEA 46-2379,Seattle,5
SEA 46-2500,Seattle,5
SEA 46-2537,Seattle,5
SEA 46-2619,Seattle,5
SEA 46-2796,Seattle,5
SEA 46-2987,Seattle,4
SEA 46-3252,Seattle,5
SEA 46-3262,Seattle,6
SEA 46-3677,Seattle,5
SEA 46-3728,Seattle,5
SEA 46-3788,Seattle,6
SEA 46-3798,Seattle,4
SEA 46-3805,Seattle,4
SEA 46-3815,Seattle,5
SEA 46-3950,Seattle,4
SEA 46-3952,Seattle,4
SEA 46-3959,Seattle,5
SEA 46-3981,Seattle,4
