PrecinctName,CityName,SeattleCouncilDistrict
SEA 36-1296,Seattle,6
SEA 36-1297,Seattle,6
SEA 36-1298,Seattle,6
SEA 36-1299,Seattle,6
SEA 36-1301,Seattle,6
SEA 36-1303,Seattle,6
SEA 36-1304,Seattle,6
SEA 36-1305,Seattle,6
SEA 36-1306,Seattle,6
SEA 36-1307,Seattle,6
SEA 36-1308,Seattle,6
SEA 36-1317,Seattle,6
SEA 36-1318,Seattle,6
SEA 36-1319,Seattle,6
SEA 36-1320,Seattle,6
SEA 36-1321,Seattle,6
SEA 36-1322,Seattle,6
SEA 36-1323,Seattle,6
SEA 36-1324,Seattle,6
SEA 36-1325,Seattle,6
SEA 36-1326,Seattle,6
SEA 36-1328,Seattle,6
SEA 36-1329,Seattle,6
SEA 36-1330,Seattle,6
SEA 36-1331,Seattle,6
SEA 36-1332,Seattle,6
SEA 36-1333,Seattle,6
SEA 36-1334,Seattle,6
SEA 36-1338,Seattle,6
SEA 36-1339,Seattle,6
SEA 36-1341,Seattle,6
SEA 36-1342,Seattle,6
SEA 36-1343,Seattle,6
SEA 36-1344,Seattle,6
SEA 36-1345,Seattle,6
SEA 36-1347,Seattle,6
SEA 36-1355,Seattle,6
SEA 36-1382,Seattle,6
SEA 36-1384,Seattle,6
SEA 36-1385,Seattle,6
SEA 36-1386,Seattle,6
SEA 36-1387,Seattle,6
SEA 36-1388,Seattle,6
SEA 36-1389,Seattle,6
SEA 36-1390,Seattle,6
SEA 36-1391,Seattle,6
SEA 36-1392,Seattle,6
SEA 36-1393,Seattle,6
SEA 36-1394,Seattle,6
SEA 36-1395,Seattle,6
SEA 36-1396,Seattle,6
SEA 36-1397,Seattle,6
SEA 36-1398,Seattle,6
SEA 36-1399,Seattle,6
SEA 36-1661,Seattle,6
SEA 36-1662,Seattle,6
SEA 36-1663,Seattle,6
SEA 36-1664,Seattle,6
SEA 36-1665,Seattle,6
SEA 36-1666,Seattle,7
SEA 36-1668,Seattle,7
SEA 36-1670,Seattle,7
SEA 36-1672,Seattle,7
SEA 36-1673,Seattle,6
SEA 36-1675,Seattle,6
SEA 36-1676,Seattle,6
SEA 36-1677,Seattle,6
SEA 36-1679,Seattle,6
SEA 36-1682,Seattle,6
SEA 36-1683,Seattle,7
SEA 36-1684,Seattle,7
SEA 36-1685,Seattle,7
SEA 36-1686,Seattle,7
SEA 36-1687,Seattle,7
SEA 36-1688,Seattle,6
SEA 36-1689,Seattle,6
SEA 36-1690,Seattle,6
SEA 36-1691,Seattle,6
SEA 36-1692,Seattle,6
SEA 36-1693,Seattle,6
SEA 36-1695,Seattle,6
SEA 36-1696,Seattle,6
SEA 36-1697,Seattle,6
SEA 36-1698,Seattle,6
SEA 36-1699,Seattle,6
SEA 36-1700,Seattle,6
SEA 36-1701,Seattle,6
SEA 36-1702,Seattle,6
SEA 36-1703,Seattle,6
SEA 36-1704,Seattle,7
SEA 36-1709,Seattle,7
SEA 36-1710,Seattle,7
SEA 36-1711,Seattle,7
SEA 36-1712,Seattle,7
SEA 36-1713,Seattle,7
SEA 36-1714,Seattle,7
SEA 36-1715,Seattle,7
